categoria,dificultad,palabra,respuesta,pista
geografia,media,M _ N D _ Z A,MENDOZA,Provincia del vino
geografia,media,B _ R _ L _ C _ _,BARILOCHE,Ciudad turística
geografia,media,U S _ _ A _ A,USHUAIA,Ciudad del fin del mundo
geografia,media,R _ S _ R _ O,ROSARIO,Ciudad de Santa Fe
geografia,difícil,Q _ _ B R _ D A _ _ _ _ M _ H _ _ C A,QUEBRADAHUMAHUACA,Patrimonio de Jujuy
geografia,difícil,P _ R _ T O _ M _ R _ N O,PERITOMORENO,Glaciar famoso
geografia,difícil,V _ L D _ S,VALDES,Península de ballenas
geografia,difícil,I B _ R A,IBERA,Esteros correntinos
geografia,difícil,F _ _ G O,FUEGO,Tierra del sur
geografia,difícil,S _ L _ N A S _ G R _ N D _ S,SALINASGRANDES,Salar del norte
geografia,difícil,C _ _ M _ N,CHALTEN,Villa del Fitz Roy
geografia,difícil,T _ L _ M P _ Y A,TALAMPAYA,Parque riojano
geografia,difícil,I S _ _ _ _ L,ISCHIGUALASTO,Valle de la Luna
geografia,difícil,P _ _ N A,PUNA,Altiplano norteño
historia,fácil,C _ L _ N,COLON,Descubridor de América
historia,fácil,I N D _ P _ N D _ N _ _ A,INDEPENDENCIA,Liberación de 1816
historia,fácil,S _ N _ M _ R T _ N,SANMARTIN,Libertador de América
historia,fácil,B _ L G R _ N O,BELGRANO,Creador de la bandera
historia,fácil,G _ _ R R A,GUERRA,Conflicto armado
historia,fácil,H _ S T _ R _ A,HISTORIA,Estudio del pasado
historia,fácil,P _ S _ D O,PASADO,Tiempo anterior
historia,fácil,R _ Y,REY,Monarca
historia,fácil,I M P _ R _ O,IMPERIO,Gran reino
historia,fácil,C _ S T _ L L O,CASTILLO,Fortaleza medieval
historia,media,P _ R _ N,PERON,Presidente argentino famoso
historia,media,E V _ T A,EVITA,Primera dama querida
historia,media,R _ V _ L _ C _ _ N,REVOLUCION,Cambio político violento
historia,media,R _ P _ B L _ C A,REPUBLICA,Forma de gobierno
historia,media,C _ N S T _ T _ C _ _ N,CONSTITUCION,Ley fundamental
historia,media,D _ C T _ D _ R A,DICTADURA,Gobierno autoritario
historia,media,D _ M _ C R _ C _ A,DEMOCRACIA,Gobierno del pueblo
historia,media,H _ T L _ R,HITLER,Dictador alemán
historia,media,N _ P _ L _ _ N,NAPOLEON,Emperador francés
historia,media,T _ T _ N _ C,TITANICO,Barco famoso hundido
historia,difícil,V _ R R _ _ N _ T O,VIRREINATO,Colonia española en América
historia,difícil,M _ L V _ N _ S,MALVINAS,Islas en conflicto 1982
historia,difícil,F _ D _ R _ L _ S,FEDERALES,Bando de Rosas
historia,difícil,U N _ T _ R _ O S,UNITARIOS,Bando de Rivadavia
historia,difícil,R _ S _ S,ROSAS,Gobernador de Buenos Aires
historia,difícil,S _ R M _ _ N T O,SARMIENTO,Presidente educador
historia,difícil,M _ T R _,MITRE,Primer presidente constitucional
historia,difícil,A L _ M,ALEM,Fundador de la UCR
historia,difícil,Y R _ G _ Y _ N,YRIGOYEN,Presidente radical
historia,difícil,C _ R D _ B _ Z O,CORDOBAZO,Protesta de 1969
